,date,coviddeaths,state2,average
0,2020-05-01,0,MT,4030
1,2020-05-02,0,MT,1688
2,2020-05-03,0,MT,1227
3,2020-05-04,0,MT,2
4,2020-05-05,0,MT,2280
5,2020-05-06,0,MT,2441
6,2020-05-07,0,MT,3457
7,2020-05-08,0,MT,4244
8,2020-05-09,0,MT,1710
9,2020-05-10,0,MT,1364
10,2020-05-11,0,MT,3682
11,2020-05-12,0,MT,3409
12,2020-05-13,0,MT,3132
13,2020-05-14,0,MT,3419
14,2020-05-15,0,MT,4004
