,date,coviddeaths,state2,average
0,2020-05-01,225,NY,244
1,2020-05-02,194,NY,91
2,2020-05-03,541,NY,88
3,2020-05-05,240,NY,135
4,2020-05-06,929,NY,105
5,2020-05-07,250,NY,208
6,2020-05-08,152,NY,249
7,2020-05-09,226,NY,91
8,2020-05-10,214,NY,67
9,2020-05-11,205,NY,204
10,2020-05-12,279,NY,217
11,2020-05-13,166,NY,164
12,2020-05-14,169,NY,165
13,2020-05-15,138,NY,189
